invoice_id,vendor_id,po_id,contract_id,processor_id,market,currency,invoice_date,invoice_receipt_date,invoice_amount,invoice_payment_term,invoice_priority,approval_status,scenario_label,vendor_name,vendor_category,vendor_country,vendor_payment_term,vendor_risk_rating,historical_early_payment_rate,po_payment_term,po_amount,buying_team,contract_payment_term,agreement_type,sap_due_date,sap_payment_release_date,payment_status,payment_method,queue_entry_date,queue_age_days,workflow_status,workflow_notes,manual_override_flag,sap_error_code,time_of_day,processor_name,team,avg_daily_volume,historical_manual_override_rate,historical_early_release_rate,upr_flag,upr_reason,upr_approval_status,upr_requested_by,upr_documented_flag,source_of_truth_payment_term,contractual_due_date,recommended_release_date,days_to_contractual_due_date,days_paid_early,early_payment_flag,payment_term_mismatch_flag,po_invoice_term_delta,sap_contract_due_date_delta,vendor_early_payment_rate,processor_early_release_rate,processor_manual_override_rate,month_end_flag,weekend_release_flag,high_value_invoice_flag,upr_missing_but_early_flag,sap_error_present_flag,market_risk_score,workflow_risk_signal,approval_risk_score,amount_log,amount_band,root_cause_label,invoice_month,rule_based_term,rule_based_recommended_release_date,target_adjustment_days,true_recommended_release_date,predicted_adjustment_days,override_confidence,risk_score,predicted_root_cause,rule_flags,rule_flag_count,recommended_action,status,risk_band,risk_explanation,root_cause_narrative,is_flagged
INV00000002,V00250,PO0000870,CT000250,P0065,UK,ZAR,2025-12-18,2025-12-25,127965.18,30,Medium,Approved,NORMAL_ON_TIME,Jones Group,Raw Materials,UK,30,Low,0.249,60,15367.13,Foods,30,Standard,2026-01-29,2026-01-14,Queued,NEFT,2025-12-27,1,Released,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Afternoon,Processor 065,AP SEA,78,0.3607,0.2022,0,,Not Applicable,,0,30,2026-01-24,2026-01-29,10,10,1,1,30,5,0.249,0.2022,0.3607,0,0,1,1,0,0.22,0.6,0.2,11.75952128923983,Very High,System error,2026-01,30,2026-01-24,7,2026-01-31,5,0.6667,0.3691439906517675,Insufficient audit trail,Release before contractual due date; UPR missing but paid early; SAP due date differs from contract; PO/invoice payment term mismatch; High-value early payment,5,ESCALATE,Escalated,Medium,"Invoice INV00000002 has been flagged because it is scheduled to release 10 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 24.9%. Recommended action: ESCALATE.",The invoice lacks enough audit evidence to explain the early release. Treat this as a priority governance case until ownership is confirmed.,1
INV00000004,V00402,PO0000134,CT000402,P0054,Mexico,USD,2025-07-17,2025-07-18,37370.46,45,High,Approved,CORA_SAP_SYSTEM_ERROR,"Garcia, Todd and Lynch",Logistics,Mexico,45,Low,0.225,45,39457.74,Beauty,45,Strategic,2025-08-22,2025-08-18,Held,Wire,2025-07-19,6,Pending,Cora/SAP date logic issue detected with code CORA_SYNC_ERR; payment term mapping requires review.,0,CORA_SYNC_ERR,Morning,Processor 054,AP Americas,114,0.1187,0.1289,0,,Not Applicable,,0,45,2025-09-01,2025-09-05,14,14,1,0,0,-10,0.225,0.1289,0.1187,0,0,0,1,1,0.36,0.65,0.2,10.528662590488107,High,System error,2025-08,45,2025-09-01,3,2025-09-04,4,0.8333,0.7477420143193014,System error,Release before contractual due date; UPR missing but paid early; SAP due date differs from contract,3,DEFER,Deferred,High,"Invoice INV00000004 has been flagged because it is scheduled to release 14 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 22.5%. Recommended action: DEFER.",The invoice shows indicators of SAP/Cora date or payment term logic issues. The due date mapping should be corrected before payment release.,1
INV00000005,V00201,PO0001060,CT000201,P0064,Indonesia,INR,2026-03-21,2026-03-23,1303.14,60,Medium,Pending,BEHAVIOURAL_QUEUE_CLEARANCE,Moore-Pruitt,Packaging,Indonesia,60,Low,0.3053,60,35232.26,Beauty,60,Strategic,2026-05-22,2026-04-14,Queued,Wire,2026-03-26,14,Pending,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Afternoon,Processor 064,AP Africa,75,0.3606,0.4673,0,,Not Applicable,,0,60,2026-05-22,2026-05-22,38,38,1,0,0,0,0.3053,0.4673,0.3606,0,0,0,1,0,0.38,0.7,0.55,7.173299098686906,Low,Behavioural,2026-04,60,2026-05-22,1,2026-05-23,0,0.8333,0.6667406056275622,Behavioural,Release before contractual due date; 15+ days early; UPR missing but paid early; Manual override; Repeat vendor early payment pattern,5,HOLD,Review Required,High,"Invoice INV00000005 has been flagged because it is scheduled to release 38 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 30.5%. Recommended action: HOLD.","The invoice appears to be driven by manual release behaviour, likely related to queue clearance or backlog pressure. AP leadership should review processor behaviour.",1
INV00000006,V00175,PO0000395,CT000175,P0036,India,USD,2025-07-24,2025-07-29,2303.59,30,High,Approved,BEHAVIOURAL_QUEUE_CLEARANCE,Hernandez-Williams,Marketing,India,30,Low,0.2487,45,10182.73,Home Care,30,Standard,2025-08-30,2025-08-14,Queued,ACH,2025-07-30,23,Held,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Evening,Processor 036,AP India,167,0.3129,0.482,0,,Not Applicable,,0,30,2025-08-28,2025-08-30,14,14,1,1,15,2,0.2487,0.482,0.3129,0,0,0,1,0,0.35,0.7,0.2,7.742658065422709,Low,Behavioural,2025-08,30,2025-08-28,1,2025-08-29,2,0.8333,0.8969389829268338,Behavioural,Release before contractual due date; UPR missing but paid early; PO/invoice payment term mismatch; Manual override,4,HOLD,Review Required,Critical,"Invoice INV00000006 has been flagged because it is scheduled to release 14 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 24.9%. Recommended action: HOLD.","The invoice appears to be driven by manual release behaviour, likely related to queue clearance or backlog pressure. AP leadership should review processor behaviour.",1
INV00000007,V00009,PO0000071,CT000009,P0090,India,BRL,2025-02-23,2025-02-23,49879.8,30,Medium,Rejected,CORA_SAP_SYSTEM_ERROR,"Bernard, Hernandez and Carrillo",Logistics,India,30,Low,0.0679,30,40594.65,Home Care,30,Strategic,2025-03-11,2025-03-10,Queued,Wire,2025-02-25,10,Approved,Cora/SAP date logic issue detected with code TERM_CFG_ERR; payment term mapping requires review.,0,TERM_CFG_ERR,Morning,Processor 090,AP Africa,132,0.0935,0.0679,0,,Not Applicable,,0,30,2025-03-25,2025-03-25,15,15,1,0,0,-14,0.0679,0.0679,0.0935,0,0,0,1,1,0.35,0.65,0.1,10.81739143815774,Very High,System error,2025-03,30,2025-03-25,8,2025-04-02,4,0.3333,0.7952998868961771,System error,Release before contractual due date; 15+ days early; UPR missing but paid early; SAP due date differs from contract,4,HOLD,Review Required,High,"Invoice INV00000007 has been flagged because it is scheduled to release 15 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 6.8%. Recommended action: HOLD.",The invoice shows indicators of SAP/Cora date or payment term logic issues. The due date mapping should be corrected before payment release.,1
INV00000010,V00075,PO0001171,CT000075,P0083,India,USD,2026-02-07,2026-02-07,11838.84,45,Critical,Approved,PAYMENT_TERM_MISMATCH,Robinson-Ford,Marketing,India,60,High,0.2366,60,96982.99,Corporate,60,Standard,2026-04-08,2026-04-02,Queued,ACH,2026-02-08,8,Pending,Cora/SAP date logic issue detected with code SAP_BLOCK_MISS; payment term mapping requires review.,0,SAP_BLOCK_MISS,Morning,Processor 083,AP LATAM,164,0.1672,0.2409,0,,Not Applicable,,0,60,2026-04-08,2026-04-14,6,6,1,1,15,0,0.2366,0.2409,0.1672,0,0,0,1,1,0.35,0.65,0.2,9.379225394833174,Medium,System error,2026-04,60,2026-04-08,5,2026-04-13,6,0.8333,0.6769017395844965,System error,Release before contractual due date; UPR missing but paid early; PO/invoice payment term mismatch,3,DEFER,Deferred,High,"Invoice INV00000010 has been flagged because it is scheduled to release 6 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 23.7%. Recommended action: DEFER.",The invoice shows indicators of SAP/Cora date or payment term logic issues. The due date mapping should be corrected before payment release.,1
INV00000011,V00399,PO0000520,CT000399,P0055,UK,GBP,2025-12-01,2025-12-03,67502.24,60,High,Approved,LEGITIMATE_UPR_EARLY_PAYMENT,"Brewer, Roberts and Wood",Raw Materials,UK,60,Low,0.362,90,12070.43,Ice Cream,60,Standard,2026-02-01,2026-01-24,Queued,Wire,2025-12-05,13,Approved,Urgent payment request submitted by business; approval/documentation requires validation before release.,0,NONE,Morning,Processor 055,AP Americas,152,0.1643,0.1814,1,Executive exception,Approved,Business Unit,1,60,2026-02-01,2026-01-31,8,8,1,1,30,0,0.362,0.1814,0.1643,0,1,0,0,0,0.22,0.55,0.2,11.119930875708658,Very High,UPR,2026-01,60,2026-02-01,0,2026-02-01,-1,0.8333,0.7529713643912446,UPR,Release before contractual due date; PO/invoice payment term mismatch; Repeat vendor early payment pattern,3,HOLD,Review Required,High,"Invoice INV00000011 has been flagged because it is scheduled to release 8 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 36.2%. Recommended action: HOLD.",The invoice appears linked to an urgent payment request. Governance should verify that the request is approved and documented before release.,1
INV00000012,V00335,PO0000595,CT000335,P0020,India,EUR,2026-03-04,2026-03-07,35999.97,45,High,Approved,PAYMENT_TERM_MISMATCH,"Ramsey, Kelley and Williams",Raw Materials,India,60,Low,0.3757,60,36983.3,Nutrition,60,Standard,2026-05-06,2026-04-25,Queued,Wire,2026-03-08,6,Approved,Cora/SAP date logic issue detected with code CORA_SYNC_ERR; payment term mapping requires review.,0,CORA_SYNC_ERR,Morning,Processor 020,AP Europe,60,0.2313,0.1315,0,,Not Applicable,,0,60,2026-05-06,2026-05-12,11,11,1,1,15,0,0.3757,0.1315,0.2313,1,1,0,1,1,0.35,0.65,0.2,10.491301161519697,High,System error,2026-04,60,2026-05-06,8,2026-05-14,6,0.6667,0.6065963069753374,System error,Release before contractual due date; UPR missing but paid early; PO/invoice payment term mismatch; Repeat vendor early payment pattern,4,DEFER,Deferred,High,"Invoice INV00000012 has been flagged because it is scheduled to release 11 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 37.6%. Recommended action: DEFER.",The invoice shows indicators of SAP/Cora date or payment term logic issues. The due date mapping should be corrected before payment release.,1
INV00000018,V00046,PO0000122,CT000046,P0044,South Africa,EUR,2025-05-21,2025-05-23,44163.63,45,High,Approved,CORA_SAP_SYSTEM_ERROR,"Howard, Knight and Hines",Facilities,South Africa,60,Low,0.0847,45,15380.1,Beauty,90,Standard,2025-08-11,2025-08-02,Queued,Wire,2025-05-24,2,Held,Cora/SAP date logic issue detected with code SAP_BLOCK_MISS; payment term mapping requires review.,0,SAP_BLOCK_MISS,Morning,Processor 044,AP Americas,73,0.2386,0.1612,0,,Not Applicable,,0,90,2025-08-21,2025-08-25,19,19,1,0,0,-10,0.0847,0.1612,0.2386,0,1,0,1,1,0.4,0.65,0.2,10.69567952146951,Very High,System error,2025-08,90,2025-08-21,4,2025-08-25,4,1.0,0.7641076460319778,System error,Release before contractual due date; 15+ days early; UPR missing but paid early; SAP due date differs from contract,4,HOLD,Review Required,High,"Invoice INV00000018 has been flagged because it is scheduled to release 19 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 8.5%. Recommended action: HOLD.",The invoice shows indicators of SAP/Cora date or payment term logic issues. The due date mapping should be corrected before payment release.,1
INV00000019,V00222,PO0000684,CT000222,P0052,Brazil,ZAR,2025-09-28,2025-09-30,16952.86,60,Critical,Approved,CORA_SAP_SYSTEM_ERROR,"Sanders, White and Valdez",Facilities,Brazil,60,Medium,0.1956,60,56635.93,Nutrition,60,Standard,2025-11-26,2025-10-28,Queued,ACH,2025-10-04,1,Approved,Cora/SAP date logic issue detected with code DATE_MAP_ERR; payment term mapping requires review.,0,DATE_MAP_ERR,Late Night,Processor 052,AP India,48,0.3964,0.4174,0,,Not Applicable,,0,60,2025-11-29,2025-12-03,32,32,1,0,0,-3,0.1956,0.4174,0.3964,1,0,0,1,1,0.42,0.65,0.2,9.738250815495942,Medium,System error,2025-10,60,2025-11-29,4,2025-12-03,4,1.0,0.786787432503236,System error,Release before contractual due date; 15+ days early; UPR missing but paid early; SAP due date differs from contract,4,HOLD,Review Required,High,"Invoice INV00000019 has been flagged because it is scheduled to release 32 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 19.6%. Recommended action: HOLD.",The invoice shows indicators of SAP/Cora date or payment term logic issues. The due date mapping should be corrected before payment release.,1
