invoice_id,vendor_id,po_id,contract_id,processor_id,market,currency,invoice_date,invoice_receipt_date,invoice_amount,invoice_payment_term,invoice_priority,approval_status,scenario_label,vendor_name,vendor_category,vendor_country,vendor_payment_term,vendor_risk_rating,historical_early_payment_rate,po_payment_term,po_amount,buying_team,contract_payment_term,agreement_type,sap_due_date,sap_payment_release_date,payment_status,payment_method,queue_entry_date,queue_age_days,workflow_status,workflow_notes,manual_override_flag,sap_error_code,time_of_day,processor_name,team,avg_daily_volume,historical_manual_override_rate,historical_early_release_rate,upr_flag,upr_reason,upr_approval_status,upr_requested_by,upr_documented_flag,source_of_truth_payment_term,contractual_due_date,recommended_release_date,days_to_contractual_due_date,days_paid_early,early_payment_flag,payment_term_mismatch_flag,po_invoice_term_delta,sap_contract_due_date_delta,vendor_early_payment_rate,processor_early_release_rate,processor_manual_override_rate,month_end_flag,weekend_release_flag,high_value_invoice_flag,upr_missing_but_early_flag,sap_error_present_flag,market_risk_score,workflow_risk_signal,approval_risk_score,amount_log,amount_band,root_cause_label,invoice_month,rule_based_term,rule_based_recommended_release_date,target_adjustment_days,true_recommended_release_date,predicted_adjustment_days,override_confidence
INV00000001,V00369,PO0000841,CT000369,P0041,USA,ZAR,2025-05-22,2025-05-29,27783.57,60,Low,Approved,LOW_RISK_STANDARD_PROCESS,Bean Group,Facilities,USA,60,Low,0.2528,60,14661.89,Home Care,60,Standard,2025-07-28,2025-07-28,Queued,Cheque,2025-06-01,5,Pending,Scenario LOW_RISK_STANDARD_PROCESS: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon,Processor 041,AP Africa,52,0.3611,0.47,0,,Not Applicable,,0,60,2025-07-28,2025-07-28,0,0,0,0,0,0,0.2528,0.47,0.3611,1,0,0,0,0,0.25,0.0,0.2,10.232236109618022,High,Not applicable / on-time,2025-07,60,2025-07-28,0,2025-07-28,0,1.0
INV00000002,V00250,PO0000870,CT000250,P0065,UK,ZAR,2025-12-18,2025-12-25,127965.18,30,Medium,Approved,NORMAL_ON_TIME,Jones Group,Raw Materials,UK,30,Low,0.249,60,15367.13,Foods,30,Standard,2026-01-29,2026-01-14,Queued,NEFT,2025-12-27,1,Released,"Early release detected with no documented UPR, system defect, or clear audit owner. Categorized as insufficient audit trail requiring investigation.",0,NONE,Afternoon,Processor 065,AP SEA,78,0.3607,0.2022,0,,Not Applicable,,0,30,2026-01-24,2026-01-29,10,10,1,1,30,5,0.249,0.2022,0.3607,0,0,1,1,0,0.22,0.6,0.2,11.75952128923983,Very High,System error,2026-01,30,2026-01-24,7,2026-01-31,5,0.6667
INV00000003,V00129,PO0001068,CT000129,P0057,India,MXN,2026-01-20,2026-01-26,83082.22,60,Medium,Approved,NORMAL_ON_TIME,"Dunn, Garrison and Rivera",IT Services,India,60,Medium,0.1578,60,207677.62,Ice Cream,60,Standard,2026-03-24,2026-04-01,Queued,NEFT,2026-01-26,2,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,1,NONE,Afternoon,Processor 057,AP Africa,59,0.1153,0.1599,0,,Not Applicable,,0,60,2026-03-27,2026-03-28,-5,0,0,0,0,-3,0.1578,0.1599,0.1153,0,0,1,0,0,0.35,0.0,0.2,11.327598035062769,Very High,Not applicable / on-time,2026-04,60,2026-03-27,0,2026-03-27,1,0.8333
INV00000004,V00402,PO0000134,CT000402,P0054,Mexico,USD,2025-07-17,2025-07-18,37370.46,45,High,Approved,CORA_SAP_SYSTEM_ERROR,"Garcia, Todd and Lynch",Logistics,Mexico,45,Low,0.225,45,39457.74,Beauty,45,Strategic,2025-08-22,2025-08-18,Held,Wire,2025-07-19,6,Pending,Cora/SAP date logic issue detected with code CORA_SYNC_ERR; payment term mapping requires review.,0,CORA_SYNC_ERR,Morning,Processor 054,AP Americas,114,0.1187,0.1289,0,,Not Applicable,,0,45,2025-09-01,2025-09-05,14,14,1,0,0,-10,0.225,0.1289,0.1187,0,0,0,1,1,0.36,0.65,0.2,10.528662590488107,High,System error,2025-08,45,2025-09-01,3,2025-09-04,4,0.8333
INV00000005,V00201,PO0001060,CT000201,P0064,Indonesia,INR,2026-03-21,2026-03-23,1303.14,60,Medium,Pending,BEHAVIOURAL_QUEUE_CLEARANCE,Moore-Pruitt,Packaging,Indonesia,60,Low,0.3053,60,35232.26,Beauty,60,Strategic,2026-05-22,2026-04-14,Queued,Wire,2026-03-26,14,Pending,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Afternoon,Processor 064,AP Africa,75,0.3606,0.4673,0,,Not Applicable,,0,60,2026-05-22,2026-05-22,38,38,1,0,0,0,0.3053,0.4673,0.3606,0,0,0,1,0,0.38,0.7,0.55,7.173299098686906,Low,Behavioural,2026-04,60,2026-05-22,1,2026-05-23,0,0.8333
INV00000006,V00175,PO0000395,CT000175,P0036,India,USD,2025-07-24,2025-07-29,2303.59,30,High,Approved,BEHAVIOURAL_QUEUE_CLEARANCE,Hernandez-Williams,Marketing,India,30,Low,0.2487,45,10182.73,Home Care,30,Standard,2025-08-30,2025-08-14,Queued,ACH,2025-07-30,23,Held,Manual override or queue clearance behaviour observed; payment appears accelerated before contractual due date.,1,NONE,Evening,Processor 036,AP India,167,0.3129,0.482,0,,Not Applicable,,0,30,2025-08-28,2025-08-30,14,14,1,1,15,2,0.2487,0.482,0.3129,0,0,0,1,0,0.35,0.7,0.2,7.742658065422709,Low,Behavioural,2025-08,30,2025-08-28,1,2025-08-29,2,0.8333
INV00000007,V00009,PO0000071,CT000009,P0090,India,BRL,2025-02-23,2025-02-23,49879.8,30,Medium,Rejected,CORA_SAP_SYSTEM_ERROR,"Bernard, Hernandez and Carrillo",Logistics,India,30,Low,0.0679,30,40594.65,Home Care,30,Strategic,2025-03-11,2025-03-10,Queued,Wire,2025-02-25,10,Approved,Cora/SAP date logic issue detected with code TERM_CFG_ERR; payment term mapping requires review.,0,TERM_CFG_ERR,Morning,Processor 090,AP Africa,132,0.0935,0.0679,0,,Not Applicable,,0,30,2025-03-25,2025-03-25,15,15,1,0,0,-14,0.0679,0.0679,0.0935,0,0,0,1,1,0.35,0.65,0.1,10.81739143815774,Very High,System error,2025-03,30,2025-03-25,8,2025-04-02,4,0.3333
INV00000008,V00419,PO0000686,CT000419,P0022,USA,MXN,2026-02-18,2026-02-24,89352.29,30,Medium,Pending,NORMAL_ON_TIME,Miles Ltd,Professional Services,USA,30,Low,0.1282,30,51696.78,Foods,30,Standard,2026-03-26,2026-04-01,Queued,SEPA,2026-02-24,4,Pending,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Afternoon,Processor 022,AP India,186,0.2132,0.3203,0,,Not Applicable,,0,30,2026-03-26,2026-03-27,-6,0,0,0,0,0,0.1282,0.3203,0.2132,0,0,1,0,0,0.25,0.0,0.55,11.400353341398208,Very High,Not applicable / on-time,2026-04,30,2026-03-26,0,2026-03-26,1,0.8333
INV00000009,V00356,PO0000627,CT000356,P0059,Brazil,BRL,2025-06-29,2025-07-02,29185.33,60,Medium,Pending,NORMAL_ON_TIME,Wu PLC,Logistics,Brazil,60,Low,0.0604,60,18442.7,Home Care,60,Standard,2025-08-31,2025-09-04,Queued,ACH,2025-07-06,17,Approved,Scenario NORMAL_ON_TIME: standard queue movement; payment not before contractual due date.,0,NONE,Morning,Processor 059,AP SEA,132,0.166,0.0542,0,,Not Applicable,,0,60,2025-08-31,2025-08-31,-4,0,0,0,0,0,0.0604,0.0542,0.166,0,0,0,0,0,0.42,0.0,0.55,10.281455727954697,High,Not applicable / on-time,2025-09,60,2025-08-31,0,2025-08-31,0,1.0
INV00000010,V00075,PO0001171,CT000075,P0083,India,USD,2026-02-07,2026-02-07,11838.84,45,Critical,Approved,PAYMENT_TERM_MISMATCH,Robinson-Ford,Marketing,India,60,High,0.2366,60,96982.99,Corporate,60,Standard,2026-04-08,2026-04-02,Queued,ACH,2026-02-08,8,Pending,Cora/SAP date logic issue detected with code SAP_BLOCK_MISS; payment term mapping requires review.,0,SAP_BLOCK_MISS,Morning,Processor 083,AP LATAM,164,0.1672,0.2409,0,,Not Applicable,,0,60,2026-04-08,2026-04-14,6,6,1,1,15,0,0.2366,0.2409,0.1672,0,0,0,1,1,0.35,0.65,0.2,9.379225394833174,Medium,System error,2026-04,60,2026-04-08,5,2026-04-13,6,0.8333
