follow_up_id,invoice_id,owner,follow_up_type,follow_up_status,created_date,due_date,aging_days,latest_response,next_action,generated_email_text,reminder_text
FUP00000001,INV00000002,Finance Lead,Escalation,Escalated,2026-05-11,2026-05-13,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000002

Hi AP Team,

Invoice INV00000002 for vendor Jones Group is scheduled to release 10 days before the contractual due date.

Risk score: 0.37
Root cause: Insufficient audit trail
Recommended action: ESCALATE
Recommended release date: 2026-01-29 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000002. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000002,INV00000004,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000004

Hi AP Team,

Invoice INV00000004 for vendor Garcia, Todd and Lynch is scheduled to release 14 days before the contractual due date.

Risk score: 0.75
Root cause: System error
Recommended action: DEFER
Recommended release date: 2025-09-05 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000004. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000003,INV00000005,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000005

Hi AP Team,

Invoice INV00000005 for vendor Moore-Pruitt is scheduled to release 38 days before the contractual due date.

Risk score: 0.67
Root cause: Behavioural
Recommended action: HOLD
Recommended release date: 2026-05-22 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000005. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000004,INV00000006,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000006

Hi AP Team,

Invoice INV00000006 for vendor Hernandez-Williams is scheduled to release 14 days before the contractual due date.

Risk score: 0.90
Root cause: Behavioural
Recommended action: HOLD
Recommended release date: 2025-08-30 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000006. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000005,INV00000007,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000007

Hi AP Team,

Invoice INV00000007 for vendor Bernard, Hernandez and Carrillo is scheduled to release 15 days before the contractual due date.

Risk score: 0.80
Root cause: System error
Recommended action: HOLD
Recommended release date: 2025-03-25 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000007. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000006,INV00000010,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000010

Hi AP Team,

Invoice INV00000010 for vendor Robinson-Ford is scheduled to release 6 days before the contractual due date.

Risk score: 0.68
Root cause: System error
Recommended action: DEFER
Recommended release date: 2026-04-14 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000010. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000007,INV00000011,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000011

Hi AP Team,

Invoice INV00000011 for vendor Brewer, Roberts and Wood is scheduled to release 8 days before the contractual due date.

Risk score: 0.75
Root cause: UPR
Recommended action: HOLD
Recommended release date: 2026-01-31 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000011. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000008,INV00000012,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000012

Hi AP Team,

Invoice INV00000012 for vendor Ramsey, Kelley and Williams is scheduled to release 11 days before the contractual due date.

Risk score: 0.61
Root cause: System error
Recommended action: DEFER
Recommended release date: 2026-05-12 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000012. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000009,INV00000018,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000018

Hi AP Team,

Invoice INV00000018 for vendor Howard, Knight and Hines is scheduled to release 19 days before the contractual due date.

Risk score: 0.76
Root cause: System error
Recommended action: HOLD
Recommended release date: 2025-08-25 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000018. Please confirm hold/release decision and attach supporting approval evidence.
FUP00000010,INV00000019,AP Processor,Email,Open,2026-05-11,2026-05-14,0,Pending response,Confirm approval evidence or hold payment,"Subject: Action Required - Early Payment Review for INV00000019

Hi AP Team,

Invoice INV00000019 for vendor Sanders, White and Valdez is scheduled to release 32 days before the contractual due date.

Risk score: 0.79
Root cause: System error
Recommended action: HOLD
Recommended release date: 2025-12-03 00:00:00

Please confirm whether there is a documented business-approved UPR or whether this payment should be held until the correct release date.

Regards,
Invoice Payment Governance Agent
",Reminder: Follow-up pending for invoice INV00000019. Please confirm hold/release decision and attach supporting approval evidence.
