audit_id,invoice_id,action_taken,triggered_by,timestamp,root_cause,recommendation,risk_score,final_status,comments
AUD00000001,INV00000002,ESCALATE,ML Risk Scorer + Rule Engine,2026-05-11 20:15:15,Insufficient audit trail,ESCALATE until 2026-01-29 00:00:00,0.3691,Open,"Invoice INV00000002 has been flagged because it is scheduled to release 10 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 24.9%. Recommended action: ESCALATE."
AUD00000002,INV00000004,DEFER,ML Risk Scorer + Rule Engine,2026-05-11 20:15:16,System error,DEFER until 2025-09-05 00:00:00,0.7477,Open,"Invoice INV00000004 has been flagged because it is scheduled to release 14 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 22.5%. Recommended action: DEFER."
AUD00000003,INV00000005,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:17,Behavioural,HOLD until 2026-05-22 00:00:00,0.6667,Open,"Invoice INV00000005 has been flagged because it is scheduled to release 38 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 30.5%. Recommended action: HOLD."
AUD00000004,INV00000006,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:18,Behavioural,HOLD until 2025-08-30 00:00:00,0.8969,Open,"Invoice INV00000006 has been flagged because it is scheduled to release 14 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 24.9%. Recommended action: HOLD."
AUD00000005,INV00000007,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:19,System error,HOLD until 2025-03-25 00:00:00,0.7953,Open,"Invoice INV00000007 has been flagged because it is scheduled to release 15 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 6.8%. Recommended action: HOLD."
AUD00000006,INV00000010,DEFER,ML Risk Scorer + Rule Engine,2026-05-11 20:15:20,System error,DEFER until 2026-04-14 00:00:00,0.6769,Open,"Invoice INV00000010 has been flagged because it is scheduled to release 6 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 23.7%. Recommended action: DEFER."
AUD00000007,INV00000011,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:21,UPR,HOLD until 2026-01-31 00:00:00,0.753,Open,"Invoice INV00000011 has been flagged because it is scheduled to release 8 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 36.2%. Recommended action: HOLD."
AUD00000008,INV00000012,DEFER,ML Risk Scorer + Rule Engine,2026-05-11 20:15:22,System error,DEFER until 2026-05-12 00:00:00,0.6066,Open,"Invoice INV00000012 has been flagged because it is scheduled to release 11 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 37.6%. Recommended action: DEFER."
AUD00000009,INV00000018,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:23,System error,HOLD until 2025-08-25 00:00:00,0.7641,Open,"Invoice INV00000018 has been flagged because it is scheduled to release 19 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 8.5%. Recommended action: HOLD."
AUD00000010,INV00000019,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:24,System error,HOLD until 2025-12-03 00:00:00,0.7868,Open,"Invoice INV00000019 has been flagged because it is scheduled to release 32 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 19.6%. Recommended action: HOLD."
AUD00000011,INV00000020,ESCALATE,ML Risk Scorer + Rule Engine,2026-05-11 20:15:25,Behavioural,ESCALATE until 2026-03-18 00:00:00,0.8969,Open,"Invoice INV00000020 has been flagged because it is scheduled to release 10 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 31.9%. Recommended action: ESCALATE."
AUD00000012,INV00000022,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:26,Behavioural,HOLD until 2025-11-10 00:00:00,0.8689,Open,"Invoice INV00000022 has been flagged because it is scheduled to release 32 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 35.9%. Recommended action: HOLD."
AUD00000013,INV00000024,DEFER,ML Risk Scorer + Rule Engine,2026-05-11 20:15:27,UPR,DEFER until 2025-10-23 00:00:00,0.8185,Open,"Invoice INV00000024 has been flagged because it is scheduled to release 16 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 30.1%. Recommended action: DEFER."
AUD00000014,INV00000027,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:28,Behavioural,HOLD until 2026-02-14 00:00:00,0.8611,Open,"Invoice INV00000027 has been flagged because it is scheduled to release 29 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 20.5%. Recommended action: HOLD."
AUD00000015,INV00000028,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:29,System error,HOLD until 2026-04-11 00:00:00,0.6684,Open,"Invoice INV00000028 has been flagged because it is scheduled to release 18 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 36.5%. Recommended action: HOLD."
AUD00000016,INV00000030,APPROVE,ML Risk Scorer + Rule Engine,2026-05-11 20:15:30,UPR,APPROVE until 2025-09-25 00:00:00,0.6493,Closed,"Invoice INV00000030 has been flagged because it is scheduled to release 14 days before the contractual due date, UPR flag is present, manual override is not present, and the vendor historical early payment rate is 8.6%. Recommended action: APPROVE."
AUD00000017,INV00000031,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:31,Behavioural,HOLD until 2026-01-23 00:00:00,0.7252,Open,"Invoice INV00000031 has been flagged because it is scheduled to release 38 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 8.6%. Recommended action: HOLD."
AUD00000018,INV00000034,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:32,Behavioural,HOLD until 2025-04-09 00:00:00,0.4851,Open,"Invoice INV00000034 has been flagged because it is scheduled to release 30 days before the contractual due date, UPR flag is missing, manual override is not present, and the vendor historical early payment rate is 6.2%. Recommended action: HOLD."
AUD00000019,INV00000037,HOLD,ML Risk Scorer + Rule Engine,2026-05-11 20:15:33,Behavioural,HOLD until 2025-06-05 00:00:00,0.8939,Open,"Invoice INV00000037 has been flagged because it is scheduled to release 11 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 32.2%. Recommended action: HOLD."
AUD00000020,INV00000038,APPROVE,ML Risk Scorer + Rule Engine,2026-05-11 20:15:34,Behavioural,APPROVE until 2025-11-10 00:00:00,0.7345,Closed,"Invoice INV00000038 has been flagged because it is scheduled to release 10 days before the contractual due date, UPR flag is missing, manual override is present, and the vendor historical early payment rate is 27.4%. Recommended action: APPROVE."
